"gnd_id","call_count","avg_call_duration","nighttime_call_count","avg_nighttime_call_duration","incoming_call_count","avg_incoming_call_duration","radius_of_gyration","unique_tower_count","spatial_entropy","avg_call_count_per_contact","avg_call_duration_per_contact","contact_count","social_entropy"
8103005,1014.93702231933,132.225626162659,88.897521417506,166.873676469017,484.747967284846,131.027220546889,24.9837348568822,26.3711062574988,0.397228940962728,10.737378411316,1665.94681190453,87.9844223974748,0.576153520135021
8103010,1251.6371717709,131.726243328313,108.238284736957,166.316221791342,600.783232585599,132.30907869157,25.2962755294389,29.8683864251132,0.388991344250521,11.7484528850661,1800.38743642648,105.713105521838,0.581667858109529
8103015,1272.08809332018,137.410723493003,96.6530909203829,197.366577974457,598.694918015491,129.620719035172,24.8129247381575,33.0870337194018,0.406823856869704,11.3776799743877,1691.3316738286,102.178506342794,0.583740074956172
8103020,1299.15748167299,131.773145495998,103.566215349117,170.897408261908,622.998758402574,132.092687481315,24.00347546335,28.994418102908,0.39405200829584,12.936592240416,1836.12490659708,104.479135736623,0.572670561462342
8103025,1327.92420326779,137.514531072801,96.9705927077817,200.545672659102,625.127694979967,129.715254497115,24.2948282255311,33.0306287794095,0.406635761419578,12.168941907449,1725.6395706008,103.112755847888,0.577878370500657
8103030,1346.92151280527,132.415911400976,103.039422258904,176.423846524692,644.47365299696,131.933479195868,23.5931537451926,29.3049238078627,0.39516615081887,13.5203402517058,1853.26247802176,104.984369988073,0.568187985582689
8103035,1348.81709552995,131.99294776123,103.503933547085,174.540531526465,646.199512236927,132.087091849497,23.5369559760075,29.0286927923296,0.394378705509546,13.6291127093571,1862.97784594539,105.173385147256,0.567479439649626
8103040,1348.06767431709,132.019877089795,103.509252354012,174.53386330735,645.819277659246,132.104988335686,23.5419273651179,29.0165759103137,0.394277430261555,13.6203567348319,1862.95732638833,105.124879071545,0.567472752808307
8103045,1390.43085290007,129.203325396303,103.021210978582,172.843505654141,668.60150889985,130.331131015036,23.3494384268314,30.1978853291716,0.404125068436003,14.0427829256722,1847.65433151075,109.494150675175,0.571489189525916
8103050,1387.13213830273,129.424458228275,103.059476304374,172.978028570861,666.825706903787,130.470325694946,23.3643029071335,30.1052036601246,0.40335247610865,14.0099913666475,1848.86902357276,109.151644417164,0.571171337419197
8103055,1446.26535018485,125.337122662925,103.162562828016,169.548499852752,698.257706301972,127.628682942055,23.0495783699704,31.6168127900091,0.412249448119387,14.4216476111713,1817.93001692055,115.055593462914,0.577178688090049
8103060,1465.52698279327,123.619318869602,105.669434284688,165.240227651729,707.238326627288,125.617187583423,22.7957819341038,31.6395865171201,0.399623110758385,14.0035202359956,1779.1260718457,116.239366453086,0.580105599717789
8103065,1601.97645053617,112.459948674329,116.966486170876,143.057525381295,774.143193830339,114.204674969008,21.3931164994925,33.0277938826014,0.350736503341751,12.4842072850526,1579.28753105363,126.556783950528,0.598305351722337
8103070,1415.75124513914,124.71418674702,99.5479699500821,167.967238145688,680.220211794207,126.866132816755,22.9490004337759,31.057988446849,0.417502530546972,13.8386246338214,1775.91412379278,113.283969445957,0.579868244340203
8103075,1617.80376341395,111.143907492512,118.415264992394,140.305909749203,781.833374638739,112.820133929922,21.2219511469919,33.1625414263851,0.344197311113128,12.2770777349578,1554.5001466308,127.712173526603,0.600470694371398
8103080,1774.53648026448,111.564250837439,128.3200757757,144.037288200088,847.225022805202,112.510961202837,21.444255247263,36.3058442920415,0.346706073770443,12.3161766653827,1564.72653431831,137.145972325239,0.600296345876921
8103085,1618.05287161741,111.103662803359,118.453277203765,140.226136057965,781.961721780998,112.777449860397,21.2105316835478,33.1599335887982,0.343949106603594,12.2651887026333,1553.43376546613,127.733479762276,0.600554353990322
8103090,1489.38320509545,118.514527286958,106.279103374609,154.987815221019,715.914372882453,120.338273051227,22.141762273516,31.6756813243644,0.386837814462168,12.8491536935319,1658.32830256243,118.666763870474,0.590110039030089
