gnd_id,tower_id,intersection_area
"1218015","34407",482305.586425781
"1218015","33656",1160789.16958618
"1218015","34161",3.77572631835938
"1218015","34160",376708.662628174
"1218015","33909",1427734.49267578
"1215520","34423",211127.709259033
"1215520","34424",38169.4200439453
"1215520","33669",643038.755554199
"1215520","33922",2119.15963745117
"1215520","34673",592226.098846436
"1215520","34672",15.9998168945312
"1218025","33656",562199.966705322
"1218025","33405",1170236.97903442
"1218025","33409",21045.8151855469
"1218025","33909",238971.165527344
"1218025","33154",150633.661590576
"1218025","32905",94069.8305969238
"1230170","32182",1030677.21820068
"1230170","32185",271808.347869873
"1230175","32182",824217.017303467
"1230270","31172",684166.638793945
"1230270","31675",1012563.80853271
"1230230","31675",1131505.31271362
"1230230","32175",279232.772796631
"1230305","30928",583581.937011719
"1230305","32182",13624.6523742676
"1230040","33435",438115.684967041
"1230040","32682",9747.15197753906
"1230040","33186",760310.599212646
"1230645","29663",597208.359436035
"1230645","29409",167155.565155029
"1230645","28658",685696.883850098
"1230645","29158",8426.66961669922
"1230645","28912",269590.910949707
"1230310","30928",203662.531890869
"1230310","31427",598233.610839844
"1212590","36441",1036604.18167114
"1227315","34430",386266.099060059
"1227315","34682",269797.101470947
"1212660","36448",957622.582733154
"1212665","35193",132837.65914917
"1212665","36448",2361167.56137085
"1212665","36953",70620.3184814453
"1209090","38693",58134.3539428711
"1209090","39191",1334310.11669922
"1212740","35193",537405.788330078
"1230010","32926",7147.4460144043
"1230010","32929",2322569.17724609
"1230010","32175",590.922943115234
"1209095","38693",109429.274169922
"1209095","39191",394401.352050781
"1209095","38440",145726.137023926
"1209095","38939",10622.9392700195
"1209250","39457",14908.0241088867
"1209250","38953",1543758.15237427
"1227605","33435",468128.796936035
"1227605","34190",820865.78503418
"1227605","33186",564701.893951416
"1221110","33409",398305.233459473
"1221105","33662",243256.320159912
"1221105","33409",974884.574127197
"1221120","33409",723733.902832031
"1221120","33909",55375.6645507812
"1221120","33158",144108.823608398
"1221120","32905",166580.890228271
"1221115","33409",633542.76348877
"1221140","33662",71295.4304199219
"1221140","33412",702273.093719482
"1221140","33160",488705.069549561
"1221130","33409",152460.777832031
"1221130","33158",515934.379455566
"1212550","36441",404622.118896484
"1212550","35941",428929.614624023
"1206045","38679",445144.517730713
"1206045","37926",24948.9833679199
"1206045","38178",531053.38470459
"1212520","36448",679231.993011475
"1212575","36690",569457.434417725
"1212575","36441",248748.224639893
"1212530","36448",778577.841461182
"1212530","35944",2898.28515625
"1212700","36690",290062.352050781
"1212700","36441",341288.629974365
"1212700","35686",508153.310760498
"1227705","33435",60362.5935974121
"1227705","33935",608186.960083008
"1227695","33931",677451.45690918
"1227695","33935",944849.074310303
"1227695","32929",257.370697021484
"1209395","38200",1980944.16867065
"1209395","38953",159849.297851562
"1227290","34427",708186.965942383
"1227290","34676",89786.779296875
"1227290","34679",574359.102905273
"1227515","34934",140920.687713623
"1227515","33931",947936.534118652
"1227515","34682",277732.515228271
"1227565","34440",126797.909179688
"1227565","34190",540744.659881592
"1209030","39191",692313.458557129
"1209030","38939",1234698.80950928
"1227195","35440",153305.458374023
"1212185","38204",767666.110656738
"1212185","38209",90649.1989135742
"1212200","37952",13432.2411499023
"1212200","38204",303300.176879883
"1209290","37936",2360880.39355469
"1209290","38440",928647.227416992
"1209290","38939",211567.02142334
"1209150","38684",864615.921508789
"1209150","37932",1212120.64770508
"1227335","34682",1153113.14334106
"1227445","34440",836215.638427734
"1227445","34190",377956.689575195
"1227445","34695",79176.2202148438
"1209170","37936",23.64990234375
"1209170","38939",632549.203735352
"1227425","33694",512370.703491211
"1227425","34695",3115706.22793579
"1227500","34934",484528.187774658
"1227500","34682",183496.995574951
"1227505","34934",227920.156555176
"1227505","34682",345407.606750488
"1212615","35944",45582.2239379883
"1212615","35941",138075.407684326
"1209300","37932",84038.4895629883
"1209300","37936",79876.7943115234
"1209560","37689",228033.898681641
"1236180","29895",200344.207397461
"1236180","29896",359432.148040771
"9230070","30683",2808133.36700439
"9230070","30434",240830.255889893
"0","34407",3030565.02731323
"0","35164",1252564.46469116
"0","34913",1594744.23086548
"0","34160",31313.7299194336
"0","36918",953289.324859619
"0","36915",134107.912322998
"0","36668",2300816.54736328
"0","37167",335537.668823242
"0","37168",612217.730133057
"0","35665",1930505.4597168
"0","35414",2119264.75488281
"0","35410",7189367.79290771
"0","36167",1698199.18606567
"0","36417",622577.926147461
"0","35916",2287674.10656738
"0","36162",4912549.39660645
"0","34662",533140.457641602
"9230035","30439",6205.60580444336
"9230035","30953",5151019.25360107
"9230035","29190",2641468.22994995
"9230035","31949",3220319.89385986
"9233005","30953",4654471.89401245
"9233005","31457",923626.943145752
"1230195","31427",1010240.62026978
"1230195","32182",98240.0220336914
"1206100","37926",445263.632751465
"1206100","37676",373611.233215332
"1206100","37425",113975.539093018
"1206100","37423",1671645.94247437
"1206100","37172",179319.700256348
"1206110","37672",885766.836425781
"1206110","37421",11.2374572753906
"1206110","37423",133071.411743164
"1206105","37926",157367.39465332
"1206105","37672",23294.6578369141
"1206105","37423",669727.333282471
"1206095","37676",630567.394348145
"1206095","37425",984518.605072021
"1206090","37929",581965.448974609
"1206090","37928",235366.842834473
"1206090","37676",451737.962982178
"1206090","37425",859024.137512207
"1212195","38204",280617.26651001
"1206115","37671",2793.0094909668
"1206115","37672",90594.5238647461
"1206115","37421",576144.766784668
"1206115","37419",25466.5293273926
"1206115","37169",135827.799407959
