tower_Id,tower_area
"25632",1758635.70758057
"29733",25369472.1303711
"25633",2900441.64685059
"25627",1058290.37658691
"25628",731750.317626953
"25629",1890745.7109375
"29730",26248730.2406311
"5127",25990131.1053772
"37936",11031892.3656616
"25626",2018385.92010498
"54334",70496642.7355652
"86623",7689858.16143799
"54327",7871957.56390381
"37932",9499370.68832397
"90719",120521905.272797
"37928",2351699.47454834
"42029",9662675.05960083
"37929",5180813.01303101
"33812",74120289.0004883
"86622",1849714.66873169
"42023",3454902.90957642
"58421",178177150.768921
"37477",26463974.796875
"42026",8279539.86590576
"78418",129048276.059662
"29710",79253731.3853455
"29766",26395246.5813904
"49760",31330407.4700623
"90699",69614975.6706543
"45661",67620709.7436218
"41558",95557561.9941711
"13358",47436734.7196655
"37454",8927087.23501587
"49750",46479824.657959
"12901",24745241.1647339
"37503",7072908.18597412
"25642",8678934.40084839
"25187",76227569.461731
"29736",35510968.2918091
"45701",8315376.54641724
"37501",5960809.39959717
"25179",28344676.9527283
"74396",72182021.5839844
"37487",15221119.1265869
"12875",27021770.2662354
"107200",8896742.93917847
"74388",35243792.6273804
"62077",56671216.0400391
"49777",53570658.0858765
"12933",2737625.81253052
"12934",19086543.4413757
"41635",94302283.757843
"8830",4230449.56808472
"86672",177848115.646637
"53864",164850022.998535
"70342",59439277.6756897
"21115",3022134.98651123
"33412",3548919.87322998
"21118",6045533.83013916
"37523",23070958.6704407
"45725",23083160.446106
"66151",125936472.497131
"45720",20579897.6942444
"33409",3549486.19750977
"12913",37457440.9341431
"45716",25712470.3502197
"33405",2202946.6114502
"82622",89449887.5246277
"37513",16519903.1459351
"62104",82394413.0479431
"45703",8426025.84423828
"107219",7814352.93774414
"82613",43699020.1509094
"45766",12316687.049469
"70374",33322835.6070557
"74467",1186365.37243652
"107212",8881012.96444702
"37562",73533654.7384338
"41658",3592607.97503662
"74466",6342630.46759033
"33442",22900134.6901855
"70360",48751004.2307739
"41653",7519765.03048706
"33435",8459511.22781372
"45747",32570099.723938
"8839",23749237.6109924
"62140",36197195.3770142
"70352",73115805.0310669
"62135",57373250.0401611
"8897",52167570.5267944
"45735",22957632.7462158
"33424",4704478.40795898
"33420",3845794.46224976
