gnd_id,population_density
"2106175",1166.16369628906
"2106170",975.665991535132
"2106140",882.440015811778
"2106295",1184.13653548453
"2106090",1359.05399451487
"2106070",1598.79146914384
"2106160",646.337422688802
"2106095",1705.71341202601
"2106135",690.856943766276
"2106130",834.991497857336
"2106185",886.727271346288
"2106085",2040.35432671293
"2106155",955.612561906893
"2106205",1168.41091305116
"2106290",1767.00285603974
"2106150",747.981889701226
"2106245",1011.52166748047
"2106250",879.002839970218
"2106145",953.077423095703
"2106270",1134.61059570312
"2106265",1204.10079806236
"2106305",2834.9548378255
"2106330",1678.74410529544
"2106310",4366.33563208831
"2106320",3026.81231886507
"2106325",2326.78243511107
"2106315",4810.86390953673
"2106275",1148.08315413981
"2106280",1073.55023460308
"2106230",1271.23182956021
"2106225",1133.69654597965
"2106125",454.275032043457
"2106255",1014.02240765634
"2106260",1126.2070580078
"2106180",650.432720690067
"2106065",1265.25461538566
"2106035",1090.40183244764
"2106060",1196.34246581393
"2106045",1015.6662551764
"2106020",1127.83767659024
"2106040",1229.20474833021
"2103285",1530.08910048265
"2103290",1567.16397212827
"2103240",518.951039011192
"2103325",523.650113650238
"2103330",446.751353777372
"2103335",410.371756421719
"2103130",1537.79579280159
"2103120",1853.63976894426
"2103200",680.147038815249
"2103190",679.700076331426
"2103195",683.212585740227
"2103050",659.706697731616
"2103045",835.963025293244
"2103090",888.097767372573
"2103235",682.762040692084
"2103105",939.322244622512
"2103055",1051.103965607
"2103255",828.07352336253
"2103260",991.203033770343
"2103305",522.378202677456
"2103150",550.776292729649
"2103155",576.440285771699
"2103145",555.879623418813
"2103165",644.929230175461
"2103040",930.269334429037
"2103075",992.872699746408
"2103135",556.620559692383
"2103205",726.480133056641
"2103140",554.931930541992
"2103170",718.832567984261
"2103180",696.684322736156
"2103175",642.581777439035
"2103245",388.657850736496
"2103300",308.987797883707
"2103225",393.303032575897
"2103250",607.212959242164
"2109030",1631.95511662205
"2109160",4822.96939130653
"2109140",803.155398456342
"2109110",5448.80509444205
"2109005",973.58213297526
"2109015",803.576354980469
"2109035",1497.85473599415
"2109060",1779.64579903605
"2154150",296.484900580512
"2154135",1224.45731608073
"2154105",415.363215128581
"2154095",520.08426951047
"2154110",592.146469116211
"2154100",545.570841471354
"2154050",585.808990478516
"2154055",820.752990722656
"2154060",776.455672009045
"2154010",740.744331463974
"2154115",654.136474609375
"2154125",3479.6854046861
"2154140",541.981628417969
"2154145",519.600158691406
"2154020",1835.33758544922
"2154045",1690.26212319256
"2154120",3361.77398994147
"2154130",1022.15963745117
