gnd_id,urban_rural_ciesin
"2106275",0.105768137462729
"2106280",0.606168265843981
"2106230",0
"2106225",0.812245478969359
"2106125",0
"2106255",0
"2106260",0
"2106180",0
"2106065",0
"2106035",0
"2106060",0
"2106045",0
"2106020",0
"2106040",0
"2103285",0
"2103290",0
"2103240",0
"2103325",0
"2103330",0
"2103335",0
"2103130",0
"2103120",0
"2103200",0
"2103190",0
"2103195",0
"2103050",0
"2103045",0
"2103090",0
"2103235",0
"2103105",0
"2103055",0
"2103255",0
"2103260",0
"2103305",0
"2103150",0
"2103155",0
"2103145",0
"2103165",0
"2103040",0
"2103075",0
"2103135",0
"2103205",0
"2103140",0
"2103170",0
"2103180",0
"2103175",0
"2103245",0
"2103300",0
"2103225",0
"2103250",0
"2109030",0
"2109160",1
"2109140",0.0283699697362842
"2109110",1
"2109005",0
"2109015",0.00883053383396621
"2109035",0
"2109060",0.524334035389613
"2154150",0
"2154135",0
"2154105",0
"2154095",0
"2154110",0
"2154100",0
"2154050",0
"2154055",0
"2154060",0
"2154010",0
"2154115",0
"2154125",0
"2154140",0
"2154145",0
"2154020",0.116102002410535
"2154045",0
"2154120",0
"2154130",0
"2154040",0.297195789099925
"2118050",0
"2118145",0
"2118120",0
"2118115",0
"2118110",0
"2118170",0
"2118140",0
"2118290",0
"2118225",0
"2118175",0
"2118280",0
"2118150",0
"2118305",0
"2118310",0
"2118010",0
"2118045",0
"2118040",0
"2118165",0
"2118160",0
"2118200",0
"2118155",0
"2118235",0
"2118285",0
"2118300",0
"2118190",0
"2118195",0
"2118265",0
"2118315",0
"2118260",0
"2118035",0
"2118065",0
"2118060",0
"2118055",0
"2118135",0
"2118090",0
"2118085",0
"2118105",0
"2118070",0
"2118075",0
"2118095",0
"2118230",0
"2118025",0
"2151005",1
"2151235",0
"2151105",1
"2151190",0.30019229154117
"2151140",0.976043503736342
"2151145",0.57470218392989
"2151195",0.389557884869559
"2151150",0
"2151185",0.0253829359032395
"2151205",0
"2151160",0
"2151155",0
"2151175",0
"2151170",0
"2151200",0
"2151240",0
"2151215",0
"2151180",0
"2151165",0
"2151115",1
"2151010",1
"2151085",1
"2151060",1
"2151100",1
"2151095",1
"2151090",1
"2151065",1
"2151050",1
"2151055",1
"2151015",0.854645303309105
"2151040",0.69387736588712
"2151020",0.544396997294991
"2151045",0.603856021338656
"2151125",1
"2151135",0.865503241379139
"2151120",1
"2151070",0.96922651692883
"2148140",0
"2148135",0
"2148080",0
"2148085",0
"2148060",0
"2148065",0
"2148070",0
"2148075",0
"2148035",0
"2148055",0
"2148050",0
"2148130",0
"2148120",0
"2148110",0
"2148045",0
"2148040",0
"2148015",0
"2148010",0
"2148095",0
"2148100",0
"2148105",0
"2148005",0
"2148025",0
"2136265",1
"2136255",1
"2136270",0.987138410579363
"2136110",0
"2136245",0
"2136050",0
"2136115",0
"2136285",0.855107837098709
"2136240",0.00522682325842606
"2136290",0.994336497075168
"2136230",0.212902095791221
"2136235",0.130145763768518
"2136315",0
"2136310",0
"2136030",0
"2136150",0
"2130305",1
"2130310",0.940020226147935
"2130300",1
"2130200",1
"2130205",1
"2130210",1
"2130165",1
"2130170",1
"2130160",1
"2130100",1
"2130175",1
"2130215",1
"2130235",1
"2130240",0.972343117353408
"2130255",1
"2151210",0
"2142160",0
"2145220",0
"2109065",0
"2112010",0
"2112005",0.0154470559561148
"2115045",0
"2115055",0
"2115005",0
"2115010",0
"2115020",0
"5239105",0
"5239100",0.00463073771927303
"5239010",0.998473168184647
"5239110",0.926283908237958
"5239085",0.771664620976661
"5239095",0.638913257767926
"5239090",0.469366405992572
"5215085",0
"5215095",0
"5215110",0
"5215105",0
"5215080",0
"5215100",0
"5215075",0
"5215070",0
"5218005",0.967385978571755
"5218210",0.00117520620322767
"5218140",1
"5218150",1
"5218175",0.997282168101944
"5218165",1
"5221045",0.990903168289925
"5221030",1
"5221040",1
"5221035",1
"5224040",0.993546550354591
"5224030",1
"5224025",0.993286961240482
"5224020",1
"2124350",1
"2124345",0.511237674784122
"2124170",0
"2124415",0
"2124365",1
"2103125",0
"2103115",0
"2103210",0
"2103320",0
"2103295",0
"2103310",0
"2103100",0
"2103215",0
"2103065",0
"2103070",0
"2109090",1
"2109095",1
"2103315",0
"2134135",0
"2134140",0
"2136035",0
"2136040",0
"2134265",0
"2136460",1
"2136370",1
"2136465",0.831437089666433
"2139060",0.0458934453842296
"2139055",0.416685603808145
"2139050",0.695781708067685
"2139505",0
"2136340",0
"2151230",0
"2103005",0
"2103010",0
"2151080",0.111110942316487
"2151130",0.222662669275091
"2148145",0
"2148125",0
"2151075",1
"2154090",0
"2154155",0
"2154085",0
"2154015",0
"2154005",0
"5248105",0
"5248030",0
"5248130",0
"5248090",0
"5248040",0
"5248020",0
"5248110",0
"5248115",0
"5248080",0
"5248005",0
"5242155",0
"5242115",0
"5242120",0
"5242110",0
"5242065",0
"5242105",0
"7160035",0
"7160025",0
"7160055",0
"7160050",0
"7160045",0
"7160030",0
"7160005",0.249647705891441
"7121005",0
"7121025",0
"7121030",0
"7121020",0
"7121055",0
"7121150",0
"7118190",0
"7118105",0
"7118180",0
"7118185",0
"7118145",0
"7118070",0
"7130115",0
"7130020",0.0708961528354902
"7130015",0
"7130010",0
"7130005",0
"7130025",0.245085265951106
"7130075",0.516669185045453
"5215065",0
"5212150",0
"5212080",0
"5212165",0
"5212155",0
"5212110",0.0454941575391772
"5212115",0.188937806334819
"5212240",0.375322973162488
"5212130",0
"5212235",0
"5212245",0
"5212135",0
"5212120",0.0107132824229934
"5212125",0
"5212215",0
"5212210",0
"5212220",0
"5212230",0
"5212175",0
"7130050",0.795772084759255
"7130045",0.592805855331699
"7139035",0
"7139020",0
"7139015",0
"7139025",0
"7139080",0
"7139075",0
"7139065",0
"7139030",0
"7139060",0
"7139090",0
"7139125",0
"8106045",0
"8106210",0
"8106115",0
"8106120",0
"8106130",0
"8106125",0
"8106170",0
"8106185",0
"8106200",0
"8106175",0
"8106195",0
"8106180",0
"8106190",0
"8106030",0
"8106050",0
"5242025",0
"5242135",0
"2124325",0
"2124330",0
"2124315",0
"2124320",0
"2124370",0.204352564413031
"2124380",0.0543815321912365
"2124470",0
"2124435",0
"2124440",0
"2112140",1
"2112145",1
"2112245",1
"2112050",1
"2112035",1
"2136350",0
"2136470",0.0572758896215763
"2139065",0
"2139070",0
"2139220",0
"2139225",0
"2139230",0
"2139340",0
"2139510",0
"2151035",0.362678697129218
"2154065",0
"2154070",0
"2154075",0
"2154080",0
"2157035",0
"5233040",1
"5233035",1
"5233030",1
"5233025",1
"5233020",0.984180520036578
"5218130",0.00677376141639166
"5218245",0
"5218255",0.264613772612127
"5218205",0.245372873623189
"5224015",0.994955964748355
"5224005",1
"5224010",0.974278309178796
"5221025",0.596207701401661
"5221110",0.0424221761774906
"5221105",0.808940199276798
"5221100",1
"7124145",0
"7124105",0
"7106120",0
"7106125",0
"7106100",0
"7106090",0
"7106095",0
"7106020",0
"7106045",0
"7106040",0
"7148095",0
"7136090",0
"7148005",0
"7148035",0
"7124190",0
"7127140",0
"7127090",0.178072556148807
"7157010",0
"7157020",0
"7157050",0
"7157030",0
"7157055",0
"7157070",0
"7154240",0
"7154265",0
"7154245",0
"7154260",0.0319871752996795
"7166100",1
"7166105",0.62129276572521
"1230045",0
"1230060",0
"1230065",0
"1230070",0
"1230140",0
"1230135",0
"1230040",0
"1230035",0
"1230030",0
"1230025",0
"1230020",0
"1230120",0
"1230015",0
"1230075",0
"1230005",0
"1230010",0
"1230340",0
"1230335",0
"2148030",0
"2148020",0
"2157005",0
"2157015",0
"2157025",0
"2157110",0
"2157130",0
"2157135",0
"2157115",0
"2157050",0
"2157090",0
"2157045",0
"2157085",0
"2151110",1
"2118295",0
"2124215",0
"2124100",0
"2124420",0
"2124340",0.0328303607452478
"2124335",0
"2124375",0.598167914383398
"2124290",0
"2124015",0
"2124160",0
"2124260",0
"2124220",0
"2124225",0
"2124230",0
"2124360",0.298132471918726
"2124180",0
"2124465",0
"2124460",0
"2124400",0
"2124130",0
"2124125",0
"2124135",0
"2124115",0
"2124120",0
"2124050",0
"2124055",0
"2124040",0
"2124005",0
"2124045",0
"2124035",0
"2124025",0
"2124010",0
"2124060",0
"2124030",0
"2124065",0
"2124105",0
"2124110",0
"2124205",0
"2124140",0
"2124210",0
"2124200",0
"2124235",0
"2124250",0
"2124255",0
"2124145",0
"2124195",0
"2124155",0
"2124190",0
"2124185",0
"2124355",1
"2124455",0
"2124425",0
"2124430",0
"2124265",0
"2124165",0
"2124270",0
"2124310",0
"2124305",0
"2124300",0
"2124385",0
"2124390",0
"2124410",0
"2124405",0
"2124395",0
"2124285",0
"2124280",0
"2124295",0
"2124275",0
"2124450",0
"2124445",0
"2124175",0
"2124085",0
"2124070",0
"2124095",0
"2124075",0
"2124020",0
"2124090",0
"2124080",0
"2103060",0
"2103080",0
"2103085",0
"2103265",0
"2103280",0
"2103275",0
"2103270",0
"2109025",0
"2109020",0
"2109155",1
"2109085",1
"2109130",1
"2109075",0.875128248512087
"2109125",1
"2109010",0
"2109055",1
"2109040",0.413044715070631
"2109080",1
"2109165",1
"2109120",1
"2109115",1
"2109175",1
"2109150",0.962496828737114
"2109145",0.320771577980777
"2118100",0
"2118205",0
"2118240",0
"2118275",0
"2118270",0
"2118255",0
"2118250",0
"2118215",0
"2118220",0
"2118245",0
"2118185",0
"2118130",0
"2118125",0
"2118080",0
"2124150",0
"2124240",0
"2121115",0
"2121130",0
"2121105",0
"2157020",0
"2157030",0
"2157055",0
"2157070",0
"2157060",0
"2157065",0
"2115065",0.0784839922565217
"2112075",0.428330116971291
"2112115",1
"2112120",1
"5216100",0
"5216015",0.374131613023112
"5216030",0
"5216040",0.420685782090716
"5216035",0.232515281567117
"5216095",0.586413783203375
"5216010",0.775344930623051
"5203050",0
"5203025",0.106696824325855
"5203010",0.129438229379209
"5203005",0.0578432747663275
"5203015",0.705697577309741
"5203020",0.0576573381874097
"5209005",0
"5209010",0
"5209015",0
"5109045",1
