gnd_id,protected_areas
"2124130",0
"2124125",0
"2124135",0
"2124115",0
"2124120",0
"2124050",0
"2124055",0
"2124040",0.0344652828359315
"2124005",0
"2124045",0
"2124035",0.0616231243205342
"2124025",0.297135407708471
"2124010",0.257029629791306
"2124060",0
"2124030",0
"2124065",0
"2124105",0
"2124110",0
"2124205",0
"2124140",0
"2124210",0.00954406726518478
"2124200",0
"2124235",0
"2124250",0
"2124255",0.00887640986677043
"2124145",0
"2124195",0
"2124155",0
"2124190",0
"2124185",0
"2124355",0.127087265588957
"2124455",1
"2124425",0.210735112008838
"2124430",0.0272567874169534
"2124265",0
"2124165",0
"2124270",0.00237731755852589
"2124310",0.266892075481755
"2124305",0.285237522039834
"2124300",0.0624135141455682
"2124385",0
"2124390",0
"2124410",0.438783395304785
"2124405",0
"2124395",0
"2124285",0.439167929384433
"2124280",0.491484320961945
"2124295",0
"2124275",0.470842662397357
"2124450",1
"2124445",1
"2124175",0.0689652348818205
"2124085",0.468285649624014
"2124070",0.00492091641413222
"2124095",0
"2124075",0.440617095713282
"2124020",0.758151571863167
"2124090",0
"2124080",0.588785343528569
"2103060",0
"2103080",0
"2103085",0
"2103265",0
"2103280",0
"2103275",0
"2103270",0
"2109025",0
"2109020",0
"2109155",0
"2109085",0
"2109130",0
"2109075",0
"2109125",0
"2109010",0
"2109055",0
"2109040",0
"2109080",0
"2109165",0
"2109120",0
"2109115",0
"2109175",0
"2109150",0
"2109145",0
"2118100",0.341970447913754
"2118205",0
"2118240",0.0317390075177782
"2118275",0
"2118270",0
"2118255",0.86703334442266
"2118250",0.256619186658307
"2118215",0.398004644046687
"2118220",0.0631087967571215
"2118245",0
"2118185",0.249902920565459
"2118130",0.827311829074729
"2118125",0.719923348702364
"2118080",0.561924544309339
"2124150",0
"2124240",0
"2121115",0.167090032245609
"2121130",0.309485293717462
"2121105",0
"2157020",0
"2157030",0.13129702537596
"2157055",0
"2157070",0
"2157060",0
"2157065",0
"2115065",0
"2112075",0.000430825162728769
"2112115",0
"2112120",0
"5216100",0
"5216015",0
"5216030",0
"5216040",0
"5216035",0
"5216095",0
"5216010",0
"5203050",0.745201765546091
"5203025",0.284036636971153
"5203010",0.123444925208251
"5203005",0.104295615610248
"5203015",0
"5203020",0.418106335070773
"5209005",0.998127563577055
"5209010",0.494561111012183
"5209015",0.367392205219592
"5109045",0
"5109050",0
"5115055",0
"5121025",0
"5121105",0.477893125618437
"5130115",0.727106151904472
"5130110",0.493195911782397
"5130070",0
"5130025",0
"5130020",0
"5130010",0
"5130005",0
"5130015",0
"5130045",0
"1115280",0
"1115285",0
"1115330",0
"1115335",0
"1115205",0
"1115275",0
"1115340",0
"1115325",0
"1115290",0
"1115270",0
"1115210",0
"1115190",0
"1115090",0
"1115085",0
"1115005",0
"1239045",0
"1239040",0
"1239055",0
"1239035",0
"1233310",0
"1239030",0
"1233415",0
"1233420",0
"1233430",0
"1233410",0
"1233460",0
"1233455",0
"1233435",0
"1233445",0
"1233450",0
"1233440",0
"1233405",0
"1212610",0
"1212605",0
"1212550",0
"1212555",0
"1212445",0
"1212450",0
"1212265",0
"1215605",0
"1227475",0
"1230305",0.00813489657126254
"1203145",0
"1239060",0
"1215130",0
"1209230",0
"3333325",0
"9218120",0
"9218170",0
"9218125",0
"9218150",0
"9218145",0
"9218240",0
"9218260",0
"9218160",0
"9218155",0
"9218165",0
"9218215",0
"9218220",0
"9218265",0
"9218175",0
"9218185",0
"9218210",0
"2127345",0
"2127240",0
"2127235",0
"2127095",0
"2127065",0
"2127120",0
"2127230",0
"2127220",0
"2127185",0
"2127145",0
"2130050",0.648012260799726
"2130180",0
"2130010",0
"2130005",0
"2130195",0
"5224070",0
"5221120",0
"5221125",0
"5221130",0
"5221135",0
"5221145",0
"5221075",0
"5221140",0
"5221070",0
"5221080",0
"5221065",0
"5221060",0
"5221055",0
"5221050",0
"5221085",0
"5224075",0
"7145090",0
"7145065",0
"7145050",0
"7145060",0
"7145100",0
"7145070",0
"7145080",0
"7145075",0
"7145125",0
"7145035",0
"7145040",0
"7145025",0
"7124080",9.9180371005902e-05
"7154140",0.781987036337981
"7154135",0
"7154160",0
"7154165",0
"7154230",0
"7154235",0
"7154190",0.591052370633816
"7154185",0.0507070578934482
"7154210",0
"7154180",0
"7154170",0
"7154115",0.0454877249942516
"7154220",0
"7154215",0
"7154225",0
"5133170",0
"5118225",0
"5118215",0
"5133165",0
"5118165",0
"5133135",0
"5133115",0
"5133130",0
"5133125",0
"5133120",0
"5133045",0
"5133050",0
"5133055",0
"5133040",0
"5133035",0
"1131015",0
"1131020",0
"1131040",0
"1131060",0
"1131055",0
"1131050",0
