gnd_id,distance_roadways_motorway,distance_roadways_trunk,distance_roadways_primary,distance_roadways_secondary,distance_roadways_tertiary
"2133325",67598.43992283,1700.93184109736,1700.93184109736,269.302826284538,269.302826284538
"2133315",67433.4819848366,955.992062193405,955.992062193405,168.60270006238,168.60270006238
"2133385",64907.4287318086,1525.21087034785,1525.21087034785,38.6564731479102,38.6564731479102
"2133380",64980.8871851643,1476.27340892358,1476.27340892358,205.525047007536,205.525047007536
"2133375",65540.4016447127,1195.41125079859,1195.41125079859,0,0
"2133145",69042.2637244666,0,0,0,0
"2133140",70046.9393543895,62.7893611767207,62.7893611767207,62.7893611767207,62.7893611767207
"2133080",70313.1686863729,611.321551151513,611.321551151513,12.5319806920589,12.5319806920589
"2133200",68122.0683900544,0,0,0,0
"2133270",67388.8979305294,0,0,0,0
"2133195",67941.735501394,0,0,0,0
"2133275",66700.0383311428,0,0,0,0
"2133360",65689.8881571155,1648.78157679236,1648.78157679236,0,0
"2133355",65811.4221085462,1529.12137101728,1529.12137101728,32.1241091492706,32.1241091492706
"2133305",66050.0084747924,949.769966067924,949.769966067924,182.417627834774,182.417627834774
"2133410",64799.7123809092,1461.47182470664,1461.47182470664,0,0
"2133365",65875.3842477812,1091.61652116638,1091.61652116638,0,0
"2133170",68881.6726729289,925.810289670079,925.810289670079,0,0
"2133165",68987.5880448095,419.348264153942,419.348264153942,0,0
"2133185",67381.5628549587,178.523201763371,178.523201763371,0,0
"2133320",66887.5980594493,1412.22815192977,1412.22815192977,0,0
"2133310",66535.2722640718,718.286022412546,718.286022412546,0,0
"2133350",65502.7510617965,1265.18964922342,1265.18964922342,0,0
"2133395",65887.2629091343,1603.42058667609,1603.42058667609,0,0
"2133085",70855.4766178935,467.008174984109,467.008174984109,354.730975723014,354.730975723014
"2133055",70978.7600625067,1196.80199200744,1196.80199200744,0,0
"2133050",71350.8639052309,916.082954809857,916.082954809857,0,0
"2133045",70956.6649220967,1637.23790939017,1637.23790939017,0,0
"2133155",69837.6046718789,582.644735645952,582.644735645952,174.010480290317,174.010480290317
"2133075",69963.2092448265,935.26171776192,935.26171776192,0,0
"2133180",68286.5733125331,206.962041550171,206.962041550171,0,0
"2133190",68163.6698415776,212.488302046489,212.488302046489,0,0
