gnd_id,aridity_index
"1233330",14852.8455539614
"1233415",13260.1212790781
"1233380",14182.8810011796
"1233325",14983
"1233395",13893.5177024311
"1236140",13438.1972051094
"1236175",13671.1926387894
"1230415",19059.3333333333
"1233240",14657.6859203851
"1233170",15795.5571805304
"1233270",14030.7131950779
"1233220",15191.4658248185
"1233140",16696.3333333333
"1233215",15259.8877980085
"1233235",14850.8113325717
"1215490",13671
"1233230",14910.5
"1233160",15916.2955892328
"1233150",16049.8235335087
"1230150",18101.0035747846
"1233225",15043.5850347077
"1233280",14210.4144488796
"1233275",14133.2564036854
"1206265",11494.9060704191
"1206275",11652
"1206280",11854.5
"1206290",12126.5
"1206325",11687.8787641811
"1206260",11326.5
"1206300",11845.3356279686
"1206305",11756.4692534201
"1206245",11718
"1206230",11285.1657892562
"1206295",12121.5
"1206250",11678.45143523
"1206255",11217
"1206285",11854.5
"1206270",11616.6435041898
"1206220",11283
"1206190",11792.3016026325
"1206215",11023.0037117629
"1206240",11764.6622809808
"1206195",11735.3469800876
"1233155",16354
"1206210",11114.5585214868
"1206225",11272.606465426
"1206235",11755.75
"1233345",14433.2703275001
"1206205",11385.875
"1206175",11667
"1206170",11538.5264990967
"1206185",11795.5
"1206145",11194.3333333333
"1233410",13348.3819118725
"1206200",11614.3333333333
"1203120",10640.1018924556
"1203150",10901
"1203160",10982.0013760011
"1230235",17019.5
"1203125",10681.8316856654
"1203175",10722
"1233350",14345.777368365
"1203155",10937.9895610713
"1215235",13838.5620795016
"1221180",12767.9003624969
"1230225",17300
"1215330",12556.0679413524
"1230205",17505.9755908931
"1230215",17262.8332668329
"1230245",16647.5
"1230190",18433.6666666667
"1221155",12494
"1221200",13090
"1221145",12885.5197051803
"1221125",12213.5
"1221210",13618
"1221060",11973
"1221165",12441.4739828545
"1221205",13461.1858721193
"1221090",12919.6666666667
"1221085",12670.6666666667
"1221065",12244.4461038561
"1221055",12106.5188189888
"1221080",12801.3333333333
"1221075",12557.5
"1221095",13074.0618842058
"1221070",12553.6813450171
"1236080",13847.1023954072
"1236070",13420.2335245535
"1221265",13598.1768859233
"1236085",14024.3506240416
"1221270",13295
"1221275",13586.8685766202
"1236125",13073.4897487301
"1221285",13588.0212334367
"1236020",13774.6793809116
"1236050",13478.430280521
"1236045",13808.4448502462
"1236055",13338.8431903833
"1236060",13207.5
"1236075",13620.9270166842
"1236065",13353.0991446486
"1236040",14125.7838796215
"1233455",13724.9649233454
"1233460",13420.6871849659
