gnd_id,gnd_area
"2139435",256133.237640381
"2139565",659517.664306641
"2139560",439378.349853516
"2139545",349965.898498535
"2139355",413629.593078613
"2139345",835211.475494385
"2139395",304780.978179932
"2139405",522412.288818359
"2139350",817913.37612915
"2139095",365244.792480469
"2139190",269942.502532959
"2139185",444249.457702637
"2139495",701045.648040771
"2139490",212127.104248047
"2139415",439731.114898682
"2139540",539537.105804443
"2139445",517176.415405273
"2134150",536839.665649414
"2134130",1170529.46792603
"2134195",642988.716766357
"2134080",1623812.77456665
"2134090",929199.200469971
"2134190",533962.96282959
"2134185",321812.84552002
"2134215",583188.322937012
"2134225",259890.019927979
"2134175",971996.097320557
"2134230",1802604.79275513
"2134240",854107.694793701
"2134085",409903.310272217
"2134170",475929.00088501
"2134245",2299220.80151367
"2134165",477567.172454834
"2134255",2286941.58328247
"2134270",831802.767913818
"2134160",754217.307189941
"2134125",1325253.43261719
"2134120",1417410.55404663
"2134040",1548815.7444458
"2134030",654338.428466797
"2134015",1395020.3755188
"2134025",1139276.05807495
"2134095",889063.438079834
"2134100",1329226.26098633
"2134105",472062.408630371
"2134050",828039.790679932
"2134045",979903.14932251
"2134115",353635.927581787
"2134110",760275.175537109
"2134010",1004574.80352783
"2134285",853466.836700439
"2134275",996641.496490479
"2134280",1148617.41238403
"2134155",1337380.3359375
"2134180",170094.598358154
"2134260",749685.056518555
"2134250",1167654.40100098
"2134035",2094403.58221436
"2121100",1487803.36132812
"2106335",601361.342254639
"2106300",606393.008148193
"2106235",271117.116333008
"2106200",840958.902191162
"2106055",456175.861846924
"2106240",730421.20916748
"2106165",860071.843933105
"2106195",747221.695465088
"2106190",594159.19744873
"2106175",814556.935211182
"2106170",994234.472686768
"2106140",878184.557647705
"2106295",289199.958251953
"2106090",928019.739196777
"2106070",274225.215759277
"2106160",1692062.18685913
"2106095",626535.47555542
"2106135",2370343.54309082
"2106130",451977.298187256
"2106185",600335.158599854
"2106085",324819.49029541
"2106155",507427.350219727
"2106205",653731.183624268
"2106290",388721.80657959
"2106150",1707037.62057495
"2106245",801558.307556152
"2106250",503631.17578125
"2106145",1014798.93890381
"2106270",726573.922729492
"2106265",795249.573638916
"2106305",490981.709136963
"2106330",437672.542755127
"2106310",238297.497070312
"2106320",427668.593292236
"2106325",677409.985565186
"2106315",318634.34475708
"2106275",218842.862915039
"2106280",1170739.60836792
"2106230",734230.657318115
"2106225",947122.964416504
"2106125",2580752.87634277
"2106255",514068.060089111
"2106260",592075.287658691
"2106180",796454.040588379
"2106065",818385.886413574
"2106035",639991.597991943
"2106060",547080.112487793
"2106045",852517.661834717
"2106020",658283.094848633
"2106040",639074.484680176
"2103285",507961.286437988
"2103290",279779.770111084
"2103240",421582.180877686
"2103325",405613.277648926
"2103330",444493.160125732
"2103335",629426.284881592
"2103130",300828.495758057
"2103120",125692.163299561
"2103200",802922.697265625
"2103190",961455.548278809
"2103195",499871.736816406
"2103050",786243.891448975
"2103045",948824.688995361
"2103090",1119324.52688599
"2103235",601455.307525635
"2103105",643197.200622559
"2103055",291283.131958008
"2103255",690822.456939697
"2103260",448660.777008057
"2103305",1358507.67523193
"2103150",840166.653686523
"2103155",493145.633087158
"2103145",458993.050872803
"2103165",1066373.7612915
"2103040",224584.956207275
"2103075",770596.211547852
"2103135",1889918.20074463
"2103205",1033952.3125
"2103140",1388913.296875
"2103170",637353.46585083
"2103180",667922.723144531
"2103175",840761.011505127
"2103245",718430.795349121
"2103300",1428758.57113647
"2103225",1127460.95318604
"2103250",1393869.76708984
"2109030",384372.869873047
"2109160",475502.733795166
"2109140",888562.978912354
"2109110",233039.756225586
"2109005",1323946.27560425
"2109015",2469178.95947266
"2109035",1233810.16616821
"2109060",746378.176452637
"2154150",8021680.02301025
"2154135",2761834.73629761
"2154105",4488326.72009277
"2154095",1333696.89608765
"2154110",2119557.04922485
"2154100",2268327.66729736
"2154050",4153880.76028442
"2154055",3531940.61288452
"2154060",1202394.01235962
"2154010",1336415.65957642
"2154115",3449301.64840698
"2154125",266973.230957031
"2154140",4322546.67852783
"2154145",3337995.11859131
"2154020",1439355.56555176
"2154045",593871.715576172
"2154120",292304.762634277
"2154130",1333826.36218262
"2154040",505451.573547363
"2118050",2669415.40423584
"2118145",2801067.29614258
"2118120",5081292.28912354
"2118115",3329935.72268677
"2118110",2304498.15167236
"2118170",2718286.61636353
"2118140",957459.071472168
"2118290",1584599.08178711
"2118225",2338472.66802979
"2118175",3856424.49490356
"2118280",4461891.97479248
"2118150",2634665.68164062
"2118305",18110199.6661072
"2118310",11948336.0398865
"2118010",14431589.5747986
"2118045",2295109.41888428
"2118040",2802695.71099854
"2118165",973203.177246094
"2118160",883896.585388184
"2118200",565136.904052734
"2118155",2244710.51242065
"2118235",2502696.01391602
"2118285",3362014.40783691
"2118300",1296549.19345093
"2118190",1099902.43151855
"2118195",2168379.14572144
"2118265",1525164.82962036
"2118315",6683781.45458984
"2118260",1289632.64678955
"2118035",2213707.55014038
"2118065",3911155.44055176
"2118060",1682412.65127563
"2118055",3527271.53173828
"2118135",2744571.04226685
"2118090",7045758.27246094
"2118085",1364516.96716309
"2118105",1047187.48312378
"2118070",1296400.48220825
"2118075",1473230.10165405
"2118095",3118482.94198608
"2118230",1674104.53973389
"2118025",13631362.5335083
"2151005",725420.647186279
"2151235",1575082.33114624
"2151105",912185.623443604
"2151190",1359788.7260437
"2151140",2610869.81686401
"2151145",2544021.35617065
"2151195",1453721.68887329
"2151150",750890.8878479
"2151185",1709035.78503418
"2151205",3517578.36300659
"2151160",1067772.39532471
"2151155",1345309.63269043
"2151175",1243535.9296875
"2151170",1594496.44747925
"2151200",6567130.1499939
"2151240",1939330.33279419
"2151215",1022826.30981445
"2151180",4895101.69754028
"2151165",3175695.0201416
"2151115",507209.568725586
"2151010",1306025.98348999
"2151085",398559.937683105
"2151060",217251.791442871
"2151100",312734.417297363
"2151095",314163.257171631
"2151090",417217.094390869
"2151065",314482.773834229
"2151050",395332.947601318
"2151055",711599.95803833
"2151015",1849117.5802002
"2151040",533422.439453125
"2151020",908322.124786377
"2151045",959895.16229248
"2151125",398126.539611816
"2151135",727440.493591309
"2151120",179012.247741699
"2151070",588019.128814697
"2148140",2391402.89505005
"2148135",1832792.77615356
"2148080",625160.138702393
"2148085",635322.913665771
"2148060",254236.195617676
"2148065",337253.101654053
"2148070",850558.971496582
"2148075",3452890.66482544
"2148035",2552495.52511597
"2148055",976308.495697021
"2148050",719807.682800293
"2148130",625903.563476562
"2148120",979499.401733398
"2148110",907759.017272949
"2148045",3459606.00900269
"2148040",3459575.18331909
"2148015",1748210.73590088
"2148010",1527767.54879761
"2148095",633434.799530029
"2148100",387125.590118408
"2148105",628032.6328125
"2148005",7075405.76678467
"2148025",921565.225158691
"2136265",282937.261657715
"2136255",626823.410705566
"2136270",774618.321655273
"2136110",240552.066253662
"2136245",712906.401489258
"2136050",1387920.46194458
"2136115",1035887.35464478
"2136285",688366.041259766
"2136240",657607.170471191
"2136290",517410.61517334
"2136230",726107.658294678
"2136235",787433.679901123
"2136315",658963.021453857
"2136310",390475.291168213
"2136030",816516.828674316
"2136150",253099.52154541
"2130305",499173.95880127
"2130310",4350930.88796997
"2130300",2321332.23284912
"2130200",929593.062164307
"2130205",1115973.87875366
"2130210",212290.235931396
"2130165",407740.316711426
"2130170",535304.299407959
"2130160",200556.099182129
"2130100",726302.319580078
"2130175",713805.739868164
"2130215",2662200.59313965
"2130235",765164.846435547
"2130240",1438510.10107422
"2130255",491388.988800049
"2151210",6184708.00772095
"2142160",19253997.1695557
"2145220",4959889.61132812
"2109065",1232996.4571228
"2112010",4244104.0680542
"2112005",2205559.10238647
"2115045",6024373.39776611
"2115055",5052178.1164856
"2115005",18765473.5779114
"2115010",6188436.637146
"2115020",11268511.6899719
"5239105",11245822.9195862
"5239100",8799502.95217896
"5239010",557332.926208496
"5239110",2606374.0352478
"5239085",862311.699249268
"5239095",1064797.40124512
"5239090",821509.928070068
"5215085",4448767.63964844
"5215095",7155487.72998047
"5215110",4237541.6362915
"5215105",6566178.09463501
"5215080",5176824.78884888
"5215100",1792249.77633667
"5215075",10563461.3554077
"5215070",5246751.54580688
"5218005",6451605.65985107
"5218210",4367967.78314209
"5218140",968945.086975098
"5218150",258202.63671875
"5218175",1065078.56811523
"5218165",720160.282562256
"5221045",117662.534210205
"5221030",202374.8409729
"5221040",303397.698760986
"5221035",217309.083709717
"5224040",560347.175079346
"5224030",387006.699035645
"5224025",577526.252227783
"5224020",227953.550384521
"2124350",244633.112548828
"2124345",1308860.25494385
"2124170",5647790.86828613
"2124415",11578644.1655579
"2124365",975514.033081055
"2103125",977552.355773926
"2103115",471663.230010986
"2103210",1228049.03814697
"2103320",988826.776641846
"2103295",1097114.99230957
"2103310",485605.513244629
"2103100",597475.201690674
"2103215",423342.652435303
