gnd_id,vegetation
"9233065",230.785764249375
"9233120",238.158081839715
"9233130",239.374342864633
"9230175",235.782677194426
"9233125",238.999231117017
"9215115",230.710690245731
"9230180",234
"9233010",210
"9215035",234
"9224025",227
"9209270",231
"9218390",233
"9209275",231
"9233060",213.15566191541
"9212285",227
"9230080",226
"9230095",226
"9203340",227.96985473069
"9230075",226
"9206015",225.497988911358
"9203390",231.849094540164
"9203400",234
"9203410",225
"9206125",225
"9206115",225
"9206210",225.650459990266
"9212095",234
"9212140",234
"9206235",225
"9224045",233.389907940659
"9215240",233
"9218310",229
"9218295",232.979554035284
"9209215",231
"9212250",227
"9212055",234
"9203440",227.665957501673
"9206130",225
"9215200",227
"9215230",231.900035714072
"9218365",233
"9221010",233
"9218375",233
"9206335",226
"9209305",228.846589615648
"9215205",229.970212906115
"9206325",226
"9203205",217
"9221125",230.156915021715
"9203240",236
"9203220",220.556934290923
"9209200",231
"9215095",231.250958279767
"9218320",229
"9209280",231
"1203060",255
"1212425",230.2841190491
"1203070",255
"1203055",255
"1203090",255
"1212410",234
"1212370",228.118642272028
"1212360",228.019984143721
"1227475",229
"1227480",228.708148269887
"1203185",255
"1203075",255
"1203190",255
"1227700",231
"1230155",231
"1227745",230.113419854796
"1206035",206
"1206020",255
"1206040",236.004957292763
"1206055",255
"1239195",186
"1239115",186
"1227460",229
"1227390",229
"1215535",206
"1215590",206
"1215480",206
"1215470",206
"1206030",231.464438620167
"1215580",206
"1206010",255
"1206025",255
"1212545",228.115463479744
"1212155",228
"1212095",228
"1212480",229
"1212630",229
"1212160",228.016393484663
"1239210",186
"1239230",202.554516865437
"1212055",228
"1212120",228
"1212570",221
"1212455",226.419545572844
"1212465",228.917817525534
"1212100",228
"1212535",229
"1212555",221
"1236130",255
"1236110",251.641978489036
"1236135",255
"1236155",186
"1212090",228
"1236160",186
"1212105",228
"1212110",228
"1212400",233.363644917682
"1212320",228
"1212375",228
"1212415",234
"1233405",186.566429788689
"1206015",255
"1236105",190.269625232524
"1233425",186.95623109497
"1227655",227
"1227670",227
"1227710",231
"1227610",231
"1227755",229.770256771504
"1227650",227
"1206135",255
"1206130",255
"1227190",221
"1227185",221
"1227180",221
"1227275",221
"1227175",221
"1227615",231
"1227635",231
"1227660",227
"1239080",186
"1239070",186
"1239075",186
"1239050",213
"1239105",186
"1239065",186.439387125914
"1227170",221
"1227255",221
"1239220",186
"1239235",213
"1227005",221
"1239215",186
"1227520",224.453780461197
"1239225",186
"1239055",213
"1224175",188
"1209200",234
"1209080",234
"1209015",206
"1209190",234
"1209390",234
"1209280",234
"1209410",232.258041904828
"1209285",224.934322571555
"1224360",188
"1224400",221.101815494431
"1224390",227
"1236170",186
"1230300",229.084237539502
"1230240",227
"1209210",234
"1209085",222.945846740239
"1236185",186
"1224395",226.943854533175
"1224385",227
"1206005",255
"1224365",189.629207256629
"1206050",255
"1224440",188
"1224355",188
"1206125",255
"1206160",212.079634401935
"1209315",206
"1209425",228
"1221035",255
"1206120",255
"1206075",255
"1206060",255
"1206320",210.312958774585
"1224130",226.896223159437
"1206375",206
"1206340",255
"1206355",255
"1206330",255
"1206385",255
"1206380",255
"1224035",188
"1224025",188
"1224050",188
"1224140",212.886112000336
"1224150",188
"1224040",188
"1221280",188
"1224070",221.784290843751
"1224100",221
"1224010",203.292696070354
"1224105",223.589760710785
"1224055",191.033552883161
"1224060",222.182598504812
"1224115",226.6109270649
"1224045",188
"1224020",190.019534581763
"1224090",221
"1224095",221
"1224075",221
"1224085",221.09561621735
"1224080",221
"1224015",205.135624553004
"1224065",221.924703446703
"1224030",195.010027173892
"1215370",221
"1215275",206
"1215440",206
"1215265",206
"1230210",231
"1230220",231
"1224185",188
"1224145",203.257230117791
"1215185",206
"1215255",217.265594654734
"1215320",206
"1215325",206
"1215310",206
"1215335",206
"1215425",206
"1215315",206
"1215210",220.620169480387
"1215110",206
"1215180",206
"1215175",206
"1215190",206
"1215230",221
"1215270",206
"1215205",210.805471125947
"1224265",227
"1224285",227
"1224270",227
"1215155",206
"1215105",206
