gnd_id,land_cover_woodland,land_cover_grassland,land_cover_cropland,land_cover_wetland,land_cover_bareland,land_cover_urban,land_cover_water
"2121230",0.5625,0.375,0.0625,0,0,0,0
"2121225",0.263157894736842,0.0526315789473684,0.684210526315789,0,0,0,0
"2139335",0.666666666666667,0,0.333333333333333,0,0,0,0
"2139500",1,0,0,0,0,0,0
"2139520",0,0.333333333333333,0.666666666666667,0,0,0,0
"2139525",1,0,0,0,0,0,0
"2139475",0.990958923529344,0.00904107647065584,0,0,0,0,0
"2139485",0.5,0.5,0,0,0,0,0
"2139465",0.802384186171574,0.0354805252311006,0.162135288597326,0,0,0,0
"2139460",1,0,0,0,0,0,0
"2139380",0.5,0,0.5,0,0,0,0
"2139555",0.0358591571723344,0.964140842827666,0,0,0,0,0
"2139425",0.185917775131193,0.384808985829235,0.429273239039572,0,0,0,0
"2139440",0.418442096123935,0.581557903876065,0,0,0,0,0
"2139390",1,0,0,0,0,0,0
"2139265",1,0,0,0,0,0,0
"2139275",1,0,0,0,0,0,0
"2139295",0.999921482256913,7.8517743086468e-05,0,0,0,0,0
"2139290",1,0,0,0,0,0,0
"2139285",1,0,0,0,0,0,0
"2139120",0.514654392497734,0.485345607502266,0,0,0,0,0
"2139175",1,0,0,0,0,0,0
"2139110",1,0,0,0,0,0,0
"2139180",1,0,0,0,0,0,0
"2139260",1,0,0,0,0,0,0
"2139210",1,0,0,0,0,0,0
"2139195",1,0,0,0,0,0,0
"2139255",1,0,0,0,0,0,0
"2139320",0.75,0.25,0,0,0,0,0
"2139375",0.503667129949202,0.206300829388166,0.290032040662633,0,0,0,0
"2139370",1,0,0,0,0,0,0
"2139105",1,0,0,0,0,0,0
"2139240",1,0,0,0,0,0,0
"2139245",1,0,0,0,0,0,0
"2139235",1,0,0,0,0,0,0
"2139205",1,0,0,0,0,0,0
"2139200",1,0,0,0,0,0,0
"2139455",0.998383792294914,0,0.00161620770508605,0,0,0,0
"2139470",1,0,0,0,0,0,0
"2139450",0.276895043614114,0.453252797778361,0.269852158607525,0,0,0,0
"2139585",1,0,0,0,0,0,0
"2139480",0.972771230938178,0.0272287690618219,0,0,0,0,0
"2139145",0.5,0.25,0.25,0,0,0,0
"2139420",1,0,0,0,0,0,0
"2139410",1,0,0,0,0,0,0
"2139215",1,0,0,0,0,0,0
"2139075",1,0,0,0,0,0,0
"2139080",1,0,0,0,0,0,0
"2139045",1,0,0,0,0,0,0
"2139085",1,0,0,0,0,0,0
"2139040",1,0,0,0,0,0,0
"2139035",1,0,0,0,0,0,0
"2139090",1,0,0,0,0,0,0
"2139010",1,0,0,0,0,0,0
"2139030",1,0,0,0,0,0,0
"2139005",1,0,0,0,0,0,0
"2139015",1,0,0,0,0,0,0
"2139025",1,0,0,0,0,0,0
"2139020",1,0,0,0,0,0,0
"2139115",1,0,0,0,0,0,0
"2139125",0.333333333333333,0,0.666666666666667,0,0,0,0
"2139135",0.294775574970526,0.22859859678762,0.476625828241854,0,0,0,0
"2139165",1,0,0,0,0,0,0
"2139160",1,0,0,0,0,0,0
"2139130",0.772912505861708,0,0.227087494138292,0,0,0,0
"2139140",0.5,0.5,0,0,0,0,0
"2139150",1,0,0,0,0,0,0
"2139100",1,0,0,0,0,0,0
"2139270",1,0,0,0,0,0,0
"2139170",1,0,0,0,0,0,0
"2139360",1,0,0,0,0,0,0
"2139365",0.5,0.5,0,0,0,0,0
"2139330",1,0,0,0,0,0,0
"2139325",1,0,0,0,0,0,0
"2139315",0.5,0,0.5,0,0,0,0
"2139385",0.5,0,0.5,0,0,0,0
"2139310",1,0,0,0,0,0,0
"2139305",1,0,0,0,0,0,0
"2139400",1,0,0,0,0,0,0
"2139280",1,0,0,0,0,0,0
"2139300",1,0,0,0,0,0,0
"2139515",0,0.5,0.5,0,0,0,0
"2139615",0.5,0,0.5,0,0,0,0
"2139600",1,0,0,0,0,0,0
"2139605",1,0,0,0,0,0,0
"2139595",1,0,0,0,0,0,0
"2139530",1,0,0,0,0,0,0
"2139590",1,0,0,0,0,0,0
"2139535",0.5,0.5,0,0,0,0,0
"2139575",1,0,0,0,0,0,0
"2139570",0.5,0.5,0,0,0,0,0
"2139550",0,0.5,0.5,0,0,0,0
