gnd_id,distance_roadways_motorway,distance_roadways_trunk,distance_roadways_primary,distance_roadways_secondary,distance_roadways_tertiary
"6163550",73778.494145333,1012.81881489723,1012.81881489723,1012.81881489723,1012.81881489723
"6166180",53584.0488224307,3226.49683668967,3226.49683668967,2113.94973910617,2113.94973910617
"6136220",63032.6330338389,1969.3453842449,1969.3453842449,0,0
"6136150",69793.1942386943,4354.1055069999,4354.1055069999,543.564352416782,543.564352416782
"6136280",61149.9574885267,1282.80091917554,1282.80091917554,0,0
"6136270",63903.4969423733,0,0,0,0
"6136255",65682.2500737572,105.54010252142,105.54010252142,105.54010252142,105.54010252142
"6136265",64643.0487278287,0,0,0,0
"6136275",63145.4344500409,641.375871479574,641.375871479574,0,0
"6136205",62528.6026259995,2631.4081445116,2631.4081445116,6.8863921834274,0
"6127235",89248.7244186578,13306.9327623171,9820.41097472664,0,0
"6118080",67327.9574391802,6190.52385801752,6190.52385801752,0,0
"6136230",64764.1469131013,0,0,0,0
"6124170",86516.8962960652,6520.38113433547,6520.38113433547,2147.78785062816,1820.57187314078
"6136245",66848.4621366196,934.764931700699,934.764931700699,0,0
"6136240",66179.0871613665,208.734756325826,208.734756325826,0,0
"6163280",77599.2201229762,5966.56496720735,5966.56496720735,1782.16972352889,1782.16972352889
"6136250",66048.7352846908,452.283656551185,452.283656551185,0,0
"6133010",78908.4792641808,7979.82092314101,7979.82092314101,4264.18575983431,4264.18575983431
"6154260",59066.4724686534,1534.04396188643,1534.04396188643,656.789493375298,656.789493375298
"6178075",37425.2567923054,14666.32101534,4964.767074961,1606.54922117186,0
"6181165",43623.6931298643,11438.4888345808,9721.75380963887,0,0
"6178390",24121.9252541502,15375.3402434233,8636.52635002255,340.119974778568,340.119974778568
"6184190",47153.3346423375,0,0,0,0
"6184245",34423.7451055135,7264.13344830642,3217.77092807456,1837.24788284699,0
"6184210",39967.2013173054,1993.61211210328,1993.61211210328,0,0
"6160210",74788.3304112045,295.454717622273,295.454717622273,295.454717622273,295.454717622273
"6184130",42074.3777541994,4969.44310594911,4969.44310594911,0,0
"6157190",63032.6075920332,4887.50229971759,4887.50229971759,0,0
"6160215",72962.6962000546,0,0,0,0
"6187365",52641.0254927437,781.15923680867,781.15923680867,781.15923680867,112.433879553776
"6157205",61425.7171629943,3763.3643661824,3763.3643661824,0,0
"6178425",30687.7140043733,13765.7763137063,1707.76237932286,68.7481997961961,68.7481997961961
"6184125",42955.6605598906,2908.23936580235,2908.23936580235,0,0
"6178305",20645.7232854985,6466.59366334457,6466.59366334457,670.733559356656,0
"6181260",35188.2620676084,10595.0180953752,1267.39514536834,0,0
"6178435",33105.5366373561,12196.7087735809,0,0,0
"6178430",31690.7594654709,12556.1785001113,396.804714767392,0,0
"6160220",72698.6306509951,0,0,0,0
"6181255",35894.0051850733,8726.45644451505,2139.66598596062,0,0
"6160255",67980.4455142235,1354.92435145171,1354.92435145171,0,0
