gnd_id,population_count_worldpop
"9233010",1062.41332569718
"9215035",1946.73260116577
"9224025",1375.80023396015
"9209270",609.952082633972
"9218390",1442.85706949234
"9209275",879.168546199799
"9233060",937.238135635853
"9212285",962.249582529068
"9230080",2073.97702693939
"9230095",2054.4105963707
"9203340",1145.35738563538
"9230075",2347.17712748051
"9206015",1339.26409721375
"9203390",1511.88241362572
"9203400",701.834610462189
"9203410",395.843555688858
"9206125",4310.68580055237
"9206115",2496.30531167984
"9206210",2384.28612518311
"9212095",1407.27883791924
"9212140",568.35240983963
"9206235",1780.34906959534
"9224045",2222.41779851913
"9215240",1716.33443045616
"9218310",1929.13257265091
"9218295",1609.80590128899
"9209215",1472.25206613541
"9212250",830.573793888092
"9212055",5679.17218112946
"9203440",866.70637845993
"9206130",1143.00663948059
