gnd_id,urban_rural_ciesin
"1212185",0
"1212200",0
"1209290",0
"1209150",0
"1227335",0
"1227445",0
"1209170",0
"1227425",0
"1227500",0
"1227505",0
"1212615",0
"1209300",0
"1209560",0
"1236180",0
"9230070",0
"0",0
"9230035",0
"9233005",0
"1230195",0
"1206100",0
"1206110",0
"1206105",0
"1206095",0
"1206090",0
"1212195",0
"1206115",0
"1230335",0
"1203105",0
"1230250",0
"1230340",0
"1230295",0
"1230255",0
"1230260",0
"1230200",0
"1221100",0
"1221135",0
"1221240",0
"1221260",0
"1221230",0
"1221185",0
"1203085",0
"1203080",0
"9215130",0
"9209010",0
"9218160",0
"9218170",0
"9221040",0
"9212155",0
"9227160",0
"9224095",0
"9230150",0
"9233065",0
"9233120",0
"9233130",0
"9230175",0
"9233125",0
"9215115",0
"9230180",0
"9233010",0
"9215035",0
"9224025",0
"9209270",0
"9218390",0
"9209275",0
"9233060",0
"9212285",0
"9230080",0
"9230095",0
"9203340",0
"9230075",0
"9206015",0
"9203390",0
"9203400",0
"9203410",0
"9206125",1
"9206115",0.982856118834585
"9206210",0.000365422933249199
"9212095",0.0846865271941343
"9212140",0
"9206235",0
"9224045",0
"9215240",0
"9218310",0
"9218295",0
"9209215",0
"9212250",0
"9212055",0.596436210726472
"9203440",0
"9206130",1
"9215200",0
"9215230",0
"9218365",0
"9221010",0
"9218375",0
"9206335",0
"9209305",0
"9215205",0
"9206325",0
"9203205",0
"9221125",0
"9203240",0
"9203220",0
"9209200",0
"9215095",0
"9218320",0
"9209280",0
"1203060",0
"1212425",0
"1203070",0
"1203055",0
"1203090",0
"1212410",0
"1212370",0
"1212360",0
"1227475",0
"1227480",0
"1203185",0
"1203075",0
"1203190",0
"1227700",0
"1230155",0
"1227745",0
"1206035",0
"1206020",0
"1206040",0
"1206055",0
"1239195",0
"1239115",0
"1227460",0
"1227390",0
"1215535",0
"1215590",0
"1215480",0
"1215470",0
"1206030",0
"1215580",0
"1206010",0
"1206025",0
"1212545",0
"1212155",0
"1212095",0
"1212480",0
"1212630",0
"1212160",0
"1239210",0
"1239230",0
"1212055",0
"1212120",0
"1212570",0
"1212455",0
"1212465",0
"1212100",0
"1212535",0
"1212555",0
"1236130",0
"1236110",0
"1236135",0
"1236155",0
"1212090",0
"1236160",0
"1212105",0
"1212110",0
"1212400",0
"1212320",0
"1212375",0
"1212415",0
"1233405",0
"1206015",0
"1236105",0
"1233425",0
"1227655",0
"1227670",0
"1227710",0
"1227610",0
"1227755",0
"1227650",0
"1206135",0
"1206130",0
"1227190",0
"1227185",0
"1227180",0
"1227275",0
"1227175",0
"1227615",0
"1227635",0
"1227660",0
"1239080",0
"1239070",0
"1239075",0
"1239050",0
"1239105",0
"1239065",0
"1227170",0
"1227255",0
"1239220",0
"1239235",0
"1227005",0
"1239215",0
"1227520",0
"1239225",0
"1239055",0
"1224175",0
"1209200",0
"1209080",0
"1209015",0
"1209190",0
"1209390",0
"1209280",0
"1209410",0
"1209285",0
"1224360",0
"1224400",0
"1224390",0
"1236170",0
"1230300",0
"1230240",0
"1209210",0
"1209085",0
"1236185",0
"1224395",0
"1224385",0
"1206005",0
"1224365",0
"1206050",0
"1224440",0
"1224355",0
"1206125",0
"1206160",0
"1209315",0
"1209425",0
"1221035",0
"1206120",0
"1206075",0
"1206060",0
"1206320",0
"1224130",0
"1206375",0
"1206340",0
"1206355",0
"1206330",0
"1206385",0
"1206380",0
"1224035",0
"1224025",0
"1224050",0
"1224140",0
"1224150",0
"1224040",0
"1221280",0
"1224070",0
"1224100",0
"1224010",0
"1224105",0
"1224055",0
"1224060",0
"1224115",0
"1224045",0
"1224020",0
"1224090",0
"1224095",0
"1224075",0
"1224085",0
"1224080",0
"1224015",0
"1224065",0
"1224030",0
"1215370",0
"1215275",0
"1215440",0
"1215265",0
"1230210",0
"1230220",0
"1224185",0
"1224145",0
"1215185",0
"1215255",0
"1215320",0
"1215325",0
"1215310",0
"1215335",0
"1215425",0
"1215315",0
"1215210",0
"1215110",0
"1215180",0
"1215175",0
"1215190",0
"1215230",0
"1215270",0
"1215205",0
"1224265",0
"1224285",0
"1224270",0
"1215155",0
"1215105",0
"1215170",0
"1215095",0
"1215150",0
"1224480",0
"1224345",0
"1224405",0
"1224430",0
"1224490",0
"1224475",0
"1224425",0
"1224435",0
"1224235",0
"1224325",0
"1224215",0
"1224205",0
"1224370",0
"1224375",0
"1224340",0
"1224210",0
"1224275",0
"1224225",0
"1224230",0
"1224240",0
"1224200",0
"1224315",0
"1224135",0
"1224310",0
"1206310",0
"1224280",0
"1224260",0
"1224160",0
"1224195",0
"1224255",0
"1224250",0
"1224190",0
"1212210",0
"1212190",0
"1212270",0
"1212235",0
"1212310",0
"1212350",0
"1212340",0
"1212345",0
"1212140",0
"1212170",0
"1212165",0
"1212135",0
"1212335",0
"1212220",0
"1212295",0
"1212255",0
"1212075",0
"1212045",0
"1212080",0
"1212070",0
"1212060",0
"1212065",0
"1212125",0
"1212085",0
"1224450",0
"1224415",0
"1224410",0
"1224445",0
"1224470",0
"1224485",0
"1224460",0
"1224495",0
"1206080",0
"1236150",0
"1206150",0
"1206085",0
"1206155",0
"1236165",0
"1206180",0
"1206165",0
"1233310",0
"1233330",0
"1233415",0
"1233380",0
"1233325",0
"1233395",0
"1236140",0
"1236175",0
"1230415",0
"1233240",0
"1233170",0
"1233270",0
"1233220",0
"1233140",0
"1233215",0
"1233235",0
"1215490",0
"1233230",0
"1233160",0
"1233150",0
"1230150",0
"1233225",0
"1233280",0
"1233275",0
