tower_id,tower_area
"26427",28719360.1524048
"76227",1209170.63803101
"35218",18938123.9382324
"84366",14782231.5821228
"1846",4822581.16650391
"108968",3750359.92883301
"26381",1020469.14047241
"88463",125294093.786438
"26382",1866139.38253784
"35237",26071261.1722107
"26379",1914574.24053955
"1853",1582898.22509766
"108975",4357730.66107178
"26380",653954.622833252
"1851",3495719.20852661
"26378",1560859.86453247
"26389",2136299.12567139
"108985",12851019.8275757
"39275",6778468.39038086
"30481",25328605.2250061
"26387",2898149.38381958
"18185",34197301.9027405
"108984",3555548.08181763
"39274",5247583.51202393
"26385",2229168.28890991
"39271",5009306.70452881
"26386",1973148.01968384
"30494",1703843.35656738
"26383",1483041.95822144
"1857",4331631.59777832
"35178",7473077.59634399
"30489",20116170.8075867
"1856",782894.434082031
"26396",7881832.98486328
"35187",6385205.11358643
"26393",4094873.09179688
"5898",36646570.9903564
"35185",4027181.02404785
"26391",2489113.98104858
"26392",1652731.51342773
"14095",5651375.09545898
"35183",5918005.42102051
"55680",103748802.67926
"26403",12382871.2142334
"30495",1366872.40649414
"63816",46363709.0028076
"30496",8780828.72912598
"35193",14236351.498291
"30439",46356353.4655762
"35203",20243265.5617676
"55633",99440498.910675
"39246",15601840.1940918
"18154",44629595.4109192
"47454",3317756.57284546
"39252",10380523.1002502
"59745",10561960.6802979
"18160",71930375.4553528
"39262",1424200.90979004
"5876",21917542.4727478
"39260",3594134.14779663
"35166",1472805.56723022
"39255",5405049.1234436
"35164",2474461.83947754
"39269",3350107.10916138
"39268",3447011.23901367
"35173",4813991.24343872
"30410",2656774.04226685
"18177",24175737.6417847
"67918",124772094.41684
"30407",3946654.78463745
"39263",3931955.48495483
"5893",25432996.4470825
"30420",6816032.49475098
"18123",23383269.7357788
"43571",84796791.4288025
"30430",12763901.541626
"35368",229355954.332947
"76133",81224850.7273254
"18139",89020234.8004761
"30434",14931214.4159241
"31149",1472564.31915283
"51725",25736903.2214966
"31150",1222172.85534668
"31148",1479733.97192383
"31157",3274437.06860352
"22955",50591314.0974731
"18861",4743310.12451172
"31156",1407579.68441772
"43530",10422550.7785339
"39433",8545037.93206787
"31151",1411019.45559692
"55838",26476140.4558716
"31152",2214946.85839844
"22966",42926212.6742249
"22963",45549175.7565918
"59927",155207690.416626
